"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","DM_gravity","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","root_number_commercial","root_weight_commercial","root_number_non_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_rot_perc"
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_GM3790-2_26",2,26,2,3,"test"," (Operator: lizbethpino, Time: )","GM3790-2","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,42.5866666666666,131,43.32,NA,21.66,NA,NA,1,27,16.32,4.2,31.6,20,1,344.8,NA,5,3,1,NA,2,48,3.36,0.48,NA,20,1,1,NA,2,5,100,43.32,18.448544,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_P13_20",2,20,2,9,"check"," (Operator: lizbethpino, Time: )","P13","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,38.6405511811023,134.2,58.96,NA,29.48,NA,NA,1,41,25.08,5,17,20,4,298.4,NA,5,3,1,NA,3,66,2.9,0.36,NA,20,1,4,NA,1,5,100,58.96,22.7824689763779,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_PER183_28",2,28,2,1,"check"," (Operator: lizbethpino, Time: )","PER183","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,34.2968571428571,117.4,47.08,NA,23.54,NA,NA,1,29,22.22,2.2,27.4,20,3,341.2,NA,5,3,1,NA,2,40,3.12,0.32,NA,20,1,3,NA,1,5,100,47.08,16.1469603428571,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_SM1127-8_16",2,16,2,13,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,37.3494223826715,176.8,54.92,NA,27.46,NA,NA,1,31,19.18,9.4,33.8,20,1,370.8,NA,5,3,1,NA,3,78,3.14,0.37,NA,20,1,2,NA,1,5,100,54.92,20.5123027725632,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_SM3106-14_24",2,24,2,5,"test"," (Operator: lizbethpino, Time: )","SM3106-14","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,41.3877272727272,116.8,50.2,NA,25.1,NA,NA,1,41,19.36,6.2,31.2,20,2,362.2,NA,5,1,2,NA,2,72,3.06,0.42,NA,20,1,2,NA,1,5,100,50.2,20.7766390909091,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_SM3553-27_21",2,21,2,8,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,42.5866666666666,224.75,59.6,NA,29.8,NA,NA,1,36,25.98,3,28.25,20,1,352.25,NA,4,3,1,NA,3,48,3.08,0.44,NA,20,1,2,NA,1,5,100,59.6,25.3816533333333,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_SM3562-32_25",2,25,2,4,"test"," (Operator: lizbethpino, Time: )","SM3562-32","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,42.2253424657534,151.8,55.48,NA,27.74,NA,NA,1,40,22.4,5.2,30.4,20,3,306.4,NA,5,3,1,NA,2,66,3.4,0.48,NA,20,1,1,NA,1,5,100,55.48,23.42662,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira","Caiseli,Caiselli,CAISELLI","201894CQPRC_cpal_rep2_SMB2446-2_27",2,27,2,2,"check"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,41.7358064516129,168,76.68,NA,38.34,NA,NA,1,28,14.32,6.8,44.4,20,2,336.4,NA,5,3,1,NA,2,62,2.88,0.4,NA,20,1,2,NA,1,5,100,76.68,32.0030163870968,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_CG1141-1_32",3,32,3,4,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,42.0005185185185,113,50.56,NA,25.28,NA,NA,1,41,19.34,5.6,28.8,20,3,324.4,NA,5,3,2,NA,2,69,3.14,0.44,NA,20,1,2,NA,1,5,100,50.56,21.235462162963,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_CM9456-12_40",3,40,3,12,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,39.6146478873239,139,49.36,NA,24.68,NA,NA,1,36,20.02,4.8,21.4,20,2,264.6,NA,5,3,1,NA,2,60,3.26,0.42,NA,20,1,2,NA,1,5,100,49.36,19.5537901971831,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_CMB8527_37",3,37,3,9,"test"," (Operator: lizbethpino, Time: )","CMB8527","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,41.4398550724638,145.8,28.04,NA,14.02,NA,NA,1,13,5.72,5.8,29.8,20,2,316.8,NA,5,3,1,NA,2,42,3.2,0.44,NA,20,1,2,NA,1,5,100,28.04,11.6197353623188,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_COL2214_30",3,30,3,2,"check"," (Operator: lizbethpino, Time: )","COL2214","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,37.1561764705882,103.4,47,NA,23.5,NA,NA,2,38,20.56,3.6,23,20,3,286.8,NA,5,3,1,NA,2,56,3.08,0.36,NA,19,1,2,NA,1,5,95,47,17.4634029411765,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_GM1692-56_36",3,36,3,8,"test"," (Operator: lizbethpino, Time: )","GM1692-56","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,42.7711188811189,161.2,32.76,NA,16.38,NA,NA,2,26,12.28,5,42.2,20,2,401.8,NA,5,3,2,NA,2,51,3.34,0.48,NA,20,1,3,NA,1,5,100,32.76,14.0118185454546,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_GM214-62_42",3,42,3,14,"test"," (Operator: lizbethpino, Time: )","GM214-62","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,39.6559259259259,142.6,56.8,NA,28.4,NA,NA,1,37,26.36,2.8,40.4,20,1,353.4,NA,5,3,1,NA,2,51,3.1,0.4,NA,20,1,1,NA,1,5,100,56.8,22.5245659259259,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_GM3790-2_29",3,29,3,1,"test"," (Operator: lizbethpino, Time: )","GM3790-2","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,41.843661971831,168.6,74.32,NA,37.16,NA,NA,1,44,28.84,7.2,28,20,1,308.2,NA,5,3,1,NA,3,80,3.3,0.46,NA,20,1,1,NA,2,5,100,74.32,31.0982095774648,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_P13_34",3,34,3,6,"check"," (Operator: lizbethpino, Time: )","P13","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,37.2753242320819,94.6,41.2,NA,20.6,NA,NA,2,28,14.12,7.8,17.8,20,4,299,NA,5,3,1,NA,2,67,3.32,0.39,NA,19,1,4,NA,1,5,95,41.2,15.3574335836177,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_PER183_39",3,39,3,11,"check"," (Operator: lizbethpino, Time: )","PER183","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,31.5963888888889,104.6,53.16,NA,26.58,NA,NA,1,27,25.16,1.8,33,20,3,355.2,NA,5,3,1,NA,3,36,3.16,0.28,NA,20,1,3,NA,1,5,100,53.16,16.7966403333333,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_SM1127-8_31",3,31,3,3,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,39.830895522388,137,56,NA,28,NA,NA,1,28,19.9,7,33.2,20,1,344.8,NA,5,3,1,NA,3,63,3.08,0.4,NA,20,1,2,NA,1,5,100,56,22.3053014925373,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_SM3106-14_41",3,41,3,13,"test"," (Operator: lizbethpino, Time: )","SM3106-14","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,38.8185714285714,114.2,61.72,NA,30.86,NA,NA,1,45,26.72,4.2,36.8,20,2,354.8,NA,5,1,2,NA,3,66,3.52,0.44,NA,20,1,2,NA,1,5,100,61.72,23.9588222857143,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_SM3553-27_35",3,35,3,7,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,NA,218.6,63.88,NA,31.94,NA,NA,1,40,30.14,2,32.6,20,1,388,NA,5,3,1,NA,3,50,3.58,0.56,NA,20,1,2,NA,1,5,100,63.88,NA,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep3_SM3562-32_33",3,33,3,5,"test"," (Operator: lizbethpino, Time: )","SM3562-32","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,42.0483673469388,105.6,53.6,NA,26.8,NA,NA,1,36,25.16,2.6,32.4,20,3,331.8,NA,5,3,1,NA,2,49,3.42,0.48,NA,20,1,1,NA,1,5,100,53.6,22.5379248979592,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira","Caiseli,Caiselli,CAISELLI","201894CQPRC_cpal_rep3_SMB2446-2_38",3,38,3,10,"check"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,43.9343795620438,155.2,37,NA,18.5,NA,NA,1,21,11.46,6.2,37.6,20,2,347,NA,5,3,1,NA,3,52,3.22,0.48,NA,20,1,2,NA,1,5,100,37,16.2557204379562,NA
2018,"201895BCPRC_cpal","201895BCPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201895BCPRC_cpal_rep1_CMB8527_11",1,11,1,11,"check"," (Operator: lizbethpino, Time: )","CMB8527","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,43.0337288135593,127.2,56.56,NA,28.28,NA,NA,1,35,22.74,4.2,16.4,20,2,248.6,NA,5,3,1,NA,2,56,4.14,0.6,NA,20,1,2,NA,1,5,100,56.56,24.3398770169491,NA
